Category,Price,Rating,Stock,Discount
,8773.0,1.865998304807294,Out of Stock,17.0
D,3977.0,,Out of Stock,32.0
D,2251.0,,,25.0
,7842.0,,,30.0
A,5006.0,3.8356362737695107,Out of Stock,
,3182.0,,,13.0
,1136.0,,,19.0
,1066.0,,Out of Stock,10.0
B,1029.0,4.464129272916702,,38.0
,1788.0,,Out of Stock,7.0
,6249.0,,In Stock,16.0
D,8026.0,,,46.0
A,9516.0,1.6573504366560314,,5.0
,859.0,1.2279456432932538,,49.0
,6792.0,2.4937906347326475,,26.0
,8631.0,3.3084805096007273,In Stock,10.0
,6491.0,4.645463936808445,,16.0
,,4.036652101229622,In Stock,33.0
D,642.0,1.5983454005426196,Out of Stock,28.0
B,4222.0,4.213202927733002,In Stock,20.0
A,1962.0,4.976201301561568,In Stock,6.0
,2119.0,3.6617201555837466,,40.0
,1441.0,3.4146348641996194,In Stock,43.0
,6884.0,,In Stock,49.0
D,2544.0,,,
B,6114.0,,In Stock,44.0
,8117.0,,In Stock,45.0
,,2.581053762448872,Out of Stock,36.0
A,4077.0,,Out of Stock,28.0
D,2877.0,3.1301621702727505,Out of Stock,49.0
B,8723.0,3.7509731294173987,,41.0
,8651.0,4.282273713935922,,2.0
,3282.0,,Out of Stock,40.0
D,9493.0,2.7804614226232114,Out of Stock,34.0
,6578.0,3.125260769236996,,28.0
,7187.0,,In Stock,12.0
,1435.0,,,23.0
,1561.0,2.8560894572721987,In Stock,6.0
,2778.0,4.647670825820734,,43.0
A,4752.0,4.589987920715608,In Stock,1.0
,4502.0,,In Stock,40.0
,,,In Stock,1.0
,578.0,3.688162019635981,Out of Stock,36.0
,3137.0,2.530595786094526,Out of Stock,49.0
C,7417.0,3.516107651706844,In Stock,43.0
C,8024.0,,,2.0
,5250.0,,,6.0
,6554.0,,,29.0
,7267.0,,,24.0
,6122.0,2.5677161236461608,In Stock,15.0
,1362.0,3.9136540296959086,Out of Stock,
,6562.0,3.6193144852124504,Out of Stock,3.0
C,6879.0,,In Stock,8.0
D,6117.0,4.858685977036779,,4.0
C,3182.0,4.874851836156545,In Stock,49.0
,5427.0,,Out of Stock,15.0
,251.0,,,21.0
,6250.0,,,33.0
D,4580.0,1.5320901750433862,,39.0
,9161.0,2.602243654999287,In Stock,49.0
,5821.0,1.1686904441361419,Out of Stock,17.0
,9990.0,,Out of Stock,19.0
,4347.0,2.568984286425842,,3.0
D,2697.0,1.9174796816019515,,30.0
,9160.0,4.392384246470518,Out of Stock,29.0
,2072.0,,,10.0
C,2122.0,4.86095167402677,Out of Stock,29.0
,8731.0,,Out of Stock,38.0
D,5031.0,,In Stock,4.0
A,6557.0,,Out of Stock,32.0
,3981.0,,,41.0
,9459.0,3.490351838179834,Out of Stock,42.0
,3763.0,,,13.0
A,2466.0,,,12.0
A,6348.0,,,29.0
,6345.0,,Out of Stock,4.0
,4781.0,3.236473832492795,Out of Stock,3.0
B,8345.0,,Out of Stock,41.0
A,5459.0,,Out of Stock,33.0
A,8521.0,1.081564565083486,Out of Stock,40.0
,2649.0,1.9854449132554999,In Stock,25.0
,3101.0,1.9228916950178259,,6.0
D,357.0,,Out of Stock,32.0
B,4299.0,2.938430507798154,,29.0
,9799.0,,Out of Stock,34.0
A,8832.0,,,17.0
A,8251.0,4.052873659464407,In Stock,28.0
A,1465.0,1.835877107956549,,
A,9825.0,,Out of Stock,22.0
,6442.0,,In Stock,34.0
B,7624.0,,,5.0
B,4061.0,2.8828583299542037,In Stock,28.0
,190.0,,In Stock,0.0
,4643.0,3.1935274285935162,In Stock,4.0
,5219.0,,Out of Stock,49.0
,1197.0,1.3007193796865226,Out of Stock,
B,8205.0,4.755317544912339,Out of Stock,35.0
,3125.0,3.295946652014962,,
D,7239.0,3.6103940069190337,In Stock,48.0
,262.0,,In Stock,36.0
,7826.0,3.576635436154038,In Stock,6.0
,8532.0,4.6303470713260335,In Stock,42.0
D,4625.0,1.7181431635508821,In Stock,36.0
,4668.0,1.7613833832587744,,23.0
A,5268.0,,,48.0
C,249.0,2.0809167459930693,,15.0
,5908.0,,In Stock,42.0
B,9697.0,,,26.0
B,8458.0,,In Stock,18.0
,4741.0,,,27.0
A,6943.0,,,42.0
,,,,11.0
,758.0,1.24949775543227,In Stock,28.0
,3169.0,2.619334913499717,In Stock,25.0
C,7953.0,1.572071265516846,In Stock,39.0
,8793.0,3.0064024532140046,Out of Stock,6.0
D,9114.0,,In Stock,27.0
,8893.0,2.5193505429065683,In Stock,
A,8713.0,2.3809932611851488,,30.0
A,1269.0,,In Stock,38.0
,8069.0,,In Stock,31.0
D,6751.0,2.337782569158563,,2.0
C,4970.0,2.365565206916858,,5.0
,2323.0,,,
,,,,0.0
A,5515.0,4.709544999960464,Out of Stock,
,8846.0,1.3640831526286097,,4.0
,2584.0,,Out of Stock,1.0
C,7911.0,2.7657386196907554,Out of Stock,37.0
D,6799.0,,Out of Stock,29.0
,4620.0,4.340548431791186,,10.0
,9424.0,1.0760737682485182,Out of Stock,
,8409.0,1.696635601842893,Out of Stock,29.0
,9063.0,3.624530680172045,Out of Stock,
,8405.0,1.2189362743316066,In Stock,48.0
,8070.0,4.220245876716987,,20.0
D,7564.0,2.576792877375157,In Stock,35.0
D,8555.0,2.3813933482220966,Out of Stock,22.0
,1870.0,,In Stock,32.0
,6864.0,2.8934828195730473,,10.0
C,439.0,2.364554354883883,In Stock,0.0
A,1425.0,1.8037601301099575,In Stock,15.0
,1612.0,3.032991895982947,In Stock,16.0
,1894.0,2.32948814776713,Out of Stock,
,8975.0,4.469736333901759,Out of Stock,32.0
,807.0,,,13.0
C,2297.0,,Out of Stock,21.0
,7800.0,,,5.0
B,1493.0,3.3836236749501865,Out of Stock,45.0
,2602.0,,In Stock,0.0
D,5381.0,4.767811269419312,Out of Stock,10.0
B,5429.0,1.746249651651913,In Stock,6.0
,734.0,,,10.0
B,3365.0,4.175149077636549,In Stock,29.0
D,9318.0,3.319298848791882,,18.0
,5220.0,,In Stock,0.0
,381.0,3.0932853971576586,In Stock,17.0
,8707.0,,Out of Stock,39.0
,3604.0,,In Stock,17.0
,5078.0,4.391163208162469,Out of Stock,6.0
,8070.0,,In Stock,28.0
C,721.0,,,
,6921.0,,Out of Stock,37.0
D,2622.0,,,22.0
C,7231.0,,,6.0
,340.0,,Out of Stock,27.0
C,9212.0,,In Stock,0.0
C,6472.0,,,27.0
,3978.0,,Out of Stock,19.0
,5746.0,,Out of Stock,2.0
,3956.0,3.4559452367626182,,23.0
D,8757.0,,In Stock,49.0
,2820.0,3.0889237473550524,,21.0
D,2001.0,,Out of Stock,23.0
,412.0,3.760118968243407,Out of Stock,21.0
,6675.0,,,43.0
A,4317.0,,Out of Stock,13.0
C,8507.0,4.575949016312601,Out of Stock,41.0
,6784.0,2.0879591139976266,Out of Stock,13.0
,7635.0,,Out of Stock,5.0
,9529.0,1.4609563879698744,In Stock,31.0
,1595.0,1.306888078818401,,37.0
,5669.0,,Out of Stock,38.0
,5861.0,1.4703921216572344,Out of Stock,40.0
,2349.0,,Out of Stock,48.0
,5766.0,,Out of Stock,3.0
,7362.0,,Out of Stock,33.0
,3256.0,2.771753928779113,In Stock,45.0
,9284.0,,Out of Stock,45.0
C,8597.0,3.517120302288795,In Stock,23.0
C,4405.0,1.1026822552674767,,33.0
C,2117.0,,,45.0
A,8642.0,,In Stock,43.0
C,,,Out of Stock,3.0
A,6022.0,,In Stock,48.0
,8132.0,2.7658498345678497,In Stock,15.0
,3170.0,2.1988624853534624,In Stock,18.0
C,2608.0,1.8730838175058309,In Stock,8.0
,9544.0,1.508629504337426,In Stock,47.0
,6220.0,1.4109864352582258,,32.0
,1959.0,4.96277529037139,Out of Stock,45.0
A,1403.0,,,
,3713.0,,Out of Stock,32.0
,6148.0,,,3.0
,3862.0,3.8131084322350035,,22.0
D,9438.0,3.69118375024206,Out of Stock,36.0
B,395.0,,In Stock,24.0
,6080.0,4.13238174203871,Out of Stock,18.0
C,5296.0,2.7415569027617632,Out of Stock,34.0
,5348.0,1.5872258080389408,Out of Stock,31.0
,6248.0,2.8891302504650946,,39.0
,8369.0,1.7741515707532138,In Stock,44.0
,3155.0,2.7562541960267173,In Stock,6.0
,2539.0,,,9.0
,3112.0,,Out of Stock,16.0
D,2489.0,4.668760788357387,In Stock,42.0
,5533.0,,In Stock,34.0
,8603.0,1.8951382789439113,Out of Stock,35.0
,6989.0,,Out of Stock,10.0
D,3064.0,1.783514835878143,Out of Stock,22.0
,176.0,,Out of Stock,33.0
,8159.0,3.09958403972783,Out of Stock,31.0
A,5080.0,2.1172213117371106,Out of Stock,1.0
,5642.0,,,28.0
,7027.0,1.8155938044552262,In Stock,
,8407.0,1.1340181503447693,Out of Stock,38.0
,878.0,,,41.0
,2546.0,1.1583134665091674,Out of Stock,34.0
,9537.0,,Out of Stock,25.0
,9600.0,3.316477940525572,In Stock,32.0
,7194.0,3.3294326510510706,,38.0
,6968.0,3.739367232964894,,
C,6292.0,1.1557269813348965,Out of Stock,17.0
C,4870.0,,Out of Stock,14.0
,6737.0,,,38.0
,250.0,1.4368825660019104,In Stock,30.0
C,,3.4263169803936875,,7.0
,312.0,1.5370201492971782,,39.0
D,8394.0,1.8188132957807652,Out of Stock,22.0
,1421.0,4.23336229004081,,
,8693.0,3.186790808579415,In Stock,24.0
,2846.0,3.6408580302425873,,6.0
,3671.0,,,47.0
C,766.0,3.45755283587473,,19.0
,615.0,,Out of Stock,2.0
,4309.0,,Out of Stock,17.0
,2947.0,1.093895333353871,Out of Stock,
,2841.0,2.5109712361162835,In Stock,40.0
B,3923.0,1.4750528082467311,In Stock,10.0
,5658.0,3.963020662718985,In Stock,29.0
,6759.0,,Out of Stock,35.0
,685.0,,Out of Stock,24.0
,5206.0,,,35.0
,5814.0,4.155485925483445,Out of Stock,12.0
,1419.0,2.3755719081128803,,1.0
A,6016.0,1.844219155421802,In Stock,1.0
,5961.0,,In Stock,18.0
,9489.0,,In Stock,5.0
,1558.0,,,12.0
,3892.0,1.9802288812656696,In Stock,6.0
,6904.0,,Out of Stock,36.0
,663.0,3.084386434089388,Out of Stock,5.0
A,1910.0,4.817531508955957,In Stock,
,2804.0,1.3541939976991424,Out of Stock,35.0
D,8625.0,4.025419857361529,,36.0
,8800.0,4.3667865198588895,Out of Stock,26.0
,3689.0,,Out of Stock,3.0
A,6869.0,3.0105112457770535,Out of Stock,49.0
,3601.0,,In Stock,22.0
,6657.0,,,47.0
C,,,Out of Stock,35.0
D,5146.0,,In Stock,10.0
B,4242.0,3.9932292338926563,Out of Stock,47.0
,7098.0,1.3018533062171231,,23.0
A,3348.0,,In Stock,16.0
,4592.0,,Out of Stock,25.0
A,7005.0,,,22.0
A,5074.0,,Out of Stock,41.0
A,9602.0,,,31.0
,3742.0,4.209122065619451,In Stock,19.0
D,454.0,,Out of Stock,32.0
,4903.0,4.615306042277187,,39.0
,9658.0,,Out of Stock,15.0
,4198.0,,Out of Stock,29.0
A,6336.0,3.648349511115054,In Stock,11.0
,9794.0,4.433559680432691,In Stock,39.0
D,2201.0,,In Stock,25.0
,5323.0,,Out of Stock,16.0
A,9152.0,4.768849526844075,Out of Stock,11.0
,5420.0,,Out of Stock,21.0
D,4763.0,,Out of Stock,11.0
,247.0,,In Stock,
,2060.0,4.743226107544174,Out of Stock,
A,3372.0,,In Stock,5.0
D,8544.0,,,29.0
,,,,47.0
,3299.0,3.004898449740812,Out of Stock,32.0
,2107.0,,Out of Stock,11.0
C,6765.0,3.4017721001746715,,35.0
,1853.0,,Out of Stock,11.0
C,8773.0,3.892084161133099,Out of Stock,
,6671.0,,,30.0
C,8398.0,3.407813914668218,Out of Stock,4.0
D,8742.0,,,4.0
,8334.0,2.562769446410627,In Stock,16.0
B,2790.0,,In Stock,
B,6781.0,,Out of Stock,21.0
,1215.0,2.382519172332373,In Stock,30.0
A,,,In Stock,14.0
,8857.0,,In Stock,15.0
D,2882.0,3.6918874805652355,Out of Stock,
,6234.0,,In Stock,28.0
,1214.0,1.4889967970912377,In Stock,4.0
A,6991.0,1.0991491374509073,In Stock,21.0
,3364.0,,Out of Stock,3.0
,8785.0,1.231135979753843,Out of Stock,11.0
,7313.0,,Out of Stock,1.0
,9999.0,1.8349540527482606,,30.0
,8760.0,,In Stock,49.0
B,7933.0,,In Stock,36.0
,6092.0,2.596015227920722,Out of Stock,39.0
,5178.0,3.33510540123526,In Stock,20.0
,8863.0,,Out of Stock,
D,8514.0,4.704094088630431,Out of Stock,46.0
A,7939.0,1.8201379880557416,Out of Stock,48.0
A,1439.0,1.4998089235235899,In Stock,28.0
,6981.0,,Out of Stock,24.0
,7682.0,2.309511396277151,Out of Stock,22.0
,5937.0,,In Stock,
A,185.0,,Out of Stock,9.0
,5796.0,,In Stock,44.0
,3646.0,,Out of Stock,33.0
,6547.0,3.590183980800087,,6.0
,1523.0,1.246447333974714,Out of Stock,22.0
,9483.0,2.8233289222448383,In Stock,
,9045.0,,,39.0
,7897.0,,In Stock,27.0
C,7384.0,,Out of Stock,24.0
A,597.0,,Out of Stock,40.0
,6194.0,3.223523933580829,In Stock,14.0
,1454.0,,In Stock,37.0
,8628.0,,,14.0
D,,,In Stock,43.0
,1401.0,,In Stock,
,9590.0,,In Stock,41.0
,4467.0,,In Stock,0.0
,8003.0,1.2719634103923183,Out of Stock,5.0
,5934.0,,In Stock,18.0
,2861.0,4.2041481091446435,,
,5376.0,1.729144769710075,,8.0
,4887.0,,,23.0
,3204.0,3.0852183136217635,In Stock,35.0
,8557.0,,Out of Stock,10.0
D,3152.0,1.5743799713874789,In Stock,6.0
,1386.0,,In Stock,23.0
D,6728.0,,In Stock,39.0
,2194.0,1.0642261261459067,Out of Stock,22.0
,7452.0,,In Stock,14.0
,5192.0,1.6641113816121256,Out of Stock,
,9782.0,2.4710808624600396,In Stock,
,7433.0,,,12.0
,5036.0,,Out of Stock,
,4740.0,,Out of Stock,42.0
D,1263.0,,In Stock,
D,8357.0,1.7571129612090046,In Stock,37.0
C,4883.0,3.356603181776897,In Stock,20.0
C,8437.0,3.8760059480193076,Out of Stock,21.0
,3543.0,3.545775898544579,In Stock,6.0
C,6441.0,,In Stock,0.0
A,8882.0,,In Stock,28.0
D,731.0,,In Stock,16.0
B,9812.0,3.75916033493222,In Stock,25.0
,7728.0,3.422209755291833,In Stock,45.0
D,1824.0,1.0909424221396073,In Stock,3.0
,3447.0,,Out of Stock,45.0
,7622.0,2.701567654531968,In Stock,15.0
B,3420.0,1.1848571459127912,In Stock,19.0
B,8741.0,3.9324410936844454,Out of Stock,
,3074.0,,,3.0
,,1.1215558829452807,,32.0
A,3745.0,4.205694490998896,In Stock,9.0
,3042.0,,Out of Stock,16.0
,2400.0,1.3811725819930412,Out of Stock,34.0
C,4096.0,,In Stock,42.0
,4157.0,,Out of Stock,30.0
,5339.0,,Out of Stock,39.0
D,4602.0,,Out of Stock,17.0
D,1966.0,4.343531411256285,In Stock,4.0
D,7406.0,3.6641339490192313,In Stock,
,2708.0,4.139442600627813,In Stock,44.0
,,1.0658018308663384,In Stock,7.0
D,1222.0,,Out of Stock,49.0
B,3681.0,,Out of Stock,8.0
,8110.0,,,48.0
D,9430.0,1.948900071416542,In Stock,15.0
A,1328.0,,Out of Stock,30.0
C,6185.0,4.989849874633716,Out of Stock,39.0
,5541.0,,In Stock,7.0
,9933.0,,Out of Stock,40.0
C,3528.0,4.685441756859109,,
,4323.0,,Out of Stock,45.0
,1421.0,1.901802966139031,,49.0
,8414.0,,,24.0
,575.0,3.1808694263755917,In Stock,40.0
,5611.0,,Out of Stock,33.0
D,3767.0,,Out of Stock,33.0
D,9988.0,1.9061038548430025,,
,5666.0,2.8366771871128216,In Stock,49.0
,9959.0,4.6229925445751405,,46.0
,8091.0,2.23847511183858,,47.0
A,7967.0,3.7150568192563207,In Stock,42.0
,1011.0,3.1505195801145547,Out of Stock,10.0
A,2593.0,1.1455198820092525,,43.0
,9961.0,2.603816159663268,,
D,9227.0,2.252049239744512,,9.0
B,7307.0,,,36.0
,5364.0,,In Stock,29.0
,1838.0,3.3811675728802784,Out of Stock,18.0
,,3.1852193809894898,In Stock,21.0
B,2997.0,1.1906524666363043,In Stock,16.0
,2531.0,4.923267635553529,,30.0
,2437.0,4.981286011728434,In Stock,
C,3034.0,3.7693396638196175,Out of Stock,11.0
B,4573.0,1.8230936667496573,In Stock,5.0
C,2466.0,2.521499443938243,In Stock,44.0
B,2242.0,,In Stock,13.0
,7805.0,,,20.0
,2527.0,4.841731762239563,Out of Stock,49.0
,1378.0,,In Stock,44.0
,6905.0,,,35.0
,4960.0,3.991063665027448,Out of Stock,31.0
,5019.0,,Out of Stock,17.0
,8568.0,2.2696349378168175,In Stock,15.0
,7198.0,,,18.0
B,4905.0,,Out of Stock,23.0
,9922.0,4.966695979833901,In Stock,42.0
,2774.0,,,0.0
A,4519.0,4.487539498587778,In Stock,39.0
,7967.0,,In Stock,13.0
,6551.0,,,28.0
C,3831.0,3.971501091387312,,19.0
C,2740.0,,In Stock,0.0
C,9069.0,,In Stock,28.0
,743.0,3.2666453009250938,In Stock,
,,,,
A,8725.0,3.85502097691188,,9.0
B,6703.0,,In Stock,9.0
,,1.8028285225132024,Out of Stock,19.0
,7842.0,3.5875890463626194,In Stock,16.0
A,6161.0,2.0128979503732762,Out of Stock,18.0
C,6083.0,2.2334745161481906,Out of Stock,36.0
,7025.0,4.430414663360271,,25.0
,276.0,3.447754406015238,,3.0
,4369.0,4.08384965154126,Out of Stock,8.0
,6546.0,,In Stock,49.0
,2810.0,2.9125953662049064,In Stock,47.0
,5181.0,,In Stock,44.0
A,6848.0,4.927541879935664,Out of Stock,26.0
,968.0,1.0460489719471595,In Stock,42.0
D,1999.0,3.6136907627431376,Out of Stock,20.0
B,7902.0,1.7399794082660036,,44.0
C,5369.0,,,29.0
A,1138.0,4.7438746861252925,In Stock,4.0
,9151.0,1.2258741719753914,In Stock,18.0
,1351.0,2.7391381724901405,In Stock,3.0
,3016.0,1.2469989657581504,,1.0
C,1132.0,2.043756275903754,Out of Stock,12.0
,4874.0,,In Stock,20.0
D,,4.019948636447628,Out of Stock,5.0
,1112.0,,Out of Stock,1.0
,7446.0,,In Stock,42.0
,4877.0,,In Stock,30.0
A,7769.0,,,45.0
A,4347.0,4.900050371878782,,25.0
,5350.0,,Out of Stock,27.0
C,3150.0,,,7.0
C,7050.0,,In Stock,37.0
B,6363.0,3.7407621095980286,Out of Stock,13.0
,7639.0,,Out of Stock,33.0
B,1570.0,3.901696196119186,,39.0
C,3725.0,3.9718178224517686,,8.0
,1253.0,,In Stock,24.0
,4657.0,,In Stock,30.0
,5411.0,,Out of Stock,
,3130.0,,In Stock,3.0
D,4062.0,3.5196211072832964,Out of Stock,
B,8524.0,,,5.0
,8290.0,,In Stock,
,4264.0,3.909681734397807,In Stock,3.0
,3030.0,4.987106105235494,Out of Stock,37.0
,105.0,1.5633995804439635,Out of Stock,31.0
,4951.0,,,41.0
,9551.0,,Out of Stock,4.0
B,8084.0,,,24.0
,9269.0,,Out of Stock,10.0
,9928.0,,In Stock,27.0
,7405.0,,In Stock,31.0
,4552.0,1.7649183166745015,Out of Stock,28.0
,9251.0,,Out of Stock,19.0
D,4983.0,4.272489890010996,,7.0
,9159.0,4.0598650529882185,Out of Stock,9.0
,3652.0,3.5590278540381695,In Stock,24.0
,7022.0,1.5163202397740227,Out of Stock,14.0
D,547.0,1.4760992404140794,In Stock,15.0
,7669.0,,,42.0
,5107.0,,In Stock,17.0
,6717.0,4.740635466189817,In Stock,20.0
,3245.0,4.319033347026181,Out of Stock,14.0
,5577.0,4.163708035379994,,43.0
,7120.0,3.4530845482900854,Out of Stock,33.0
A,,,In Stock,18.0
D,6841.0,1.9837671407858215,Out of Stock,28.0
B,5059.0,,Out of Stock,16.0
B,5194.0,3.0162834320986356,Out of Stock,12.0
,1656.0,2.0581245239360793,,6.0
,2876.0,3.1805350277484448,,24.0
,2904.0,3.7360841414479027,,43.0
,8144.0,,In Stock,18.0
,9151.0,,,27.0
,8378.0,1.093233748201139,Out of Stock,35.0
B,6686.0,3.4478348191094748,,49.0
B,7901.0,3.881902706335059,In Stock,31.0
A,7316.0,1.1431668188554256,In Stock,0.0
,3029.0,,Out of Stock,
,2197.0,1.7703280256450928,Out of Stock,30.0
A,2030.0,,Out of Stock,
,,,In Stock,44.0
,9213.0,,Out of Stock,47.0
,1422.0,2.2261399791401497,Out of Stock,28.0
,2691.0,,,48.0
,1258.0,2.581632085681167,In Stock,29.0
,8763.0,4.802447804876793,Out of Stock,11.0
,6433.0,1.7904221543739025,In Stock,
,7440.0,,Out of Stock,25.0
A,,2.726068144497116,Out of Stock,34.0
,7003.0,,In Stock,3.0
,7088.0,4.278213985580585,Out of Stock,26.0
A,1578.0,,,
D,565.0,1.614622862575568,,49.0
,2723.0,,In Stock,44.0
,3928.0,,In Stock,9.0
,4732.0,,Out of Stock,45.0
,3521.0,,,33.0
D,3056.0,,In Stock,3.0
,8187.0,2.3925842757960387,Out of Stock,25.0
,6147.0,,,4.0
C,4882.0,,In Stock,8.0
,834.0,4.433580489430772,Out of Stock,42.0
,6961.0,,,10.0
,1398.0,,In Stock,13.0
B,4700.0,1.3115500364157064,Out of Stock,22.0
,7868.0,3.742643662805146,,14.0
,8635.0,,,30.0
,4601.0,3.393927340735492,Out of Stock,7.0
C,873.0,,In Stock,15.0
A,3947.0,,,48.0
A,552.0,4.363436910080518,,47.0
,1398.0,3.348483731254529,Out of Stock,31.0
B,8686.0,4.033833309413983,Out of Stock,11.0
B,3958.0,2.3673214068574806,,13.0
,166.0,4.983784435131211,Out of Stock,45.0
,4374.0,1.124329677551391,In Stock,13.0
,9265.0,,In Stock,47.0
D,9181.0,,Out of Stock,14.0
,9966.0,,Out of Stock,16.0
,7087.0,,Out of Stock,47.0
D,3673.0,2.919233192395452,Out of Stock,40.0
C,6764.0,,,46.0
,8254.0,,,7.0
,2470.0,2.7908227007992448,Out of Stock,23.0
A,7870.0,,Out of Stock,45.0
,9526.0,,In Stock,5.0
,3396.0,2.132233504759987,,35.0
,,2.7353258128642164,In Stock,47.0
B,8533.0,,,1.0
,6313.0,4.445257201955261,Out of Stock,18.0
A,1188.0,2.5155349926474044,In Stock,31.0
,2365.0,,Out of Stock,31.0
B,288.0,2.001250539770596,In Stock,11.0
,5009.0,3.082572756233187,Out of Stock,37.0
,9634.0,,In Stock,48.0
,9485.0,,,24.0
,7374.0,,,43.0
,233.0,2.6477358315475197,In Stock,7.0
C,5326.0,2.471724023565281,,4.0
A,5257.0,,,31.0
A,1853.0,3.041639608395065,,15.0
,5317.0,1.8134186566428938,,22.0
C,808.0,,In Stock,9.0
D,2736.0,2.4659582197492225,In Stock,12.0
,2232.0,2.41188537000306,In Stock,2.0
,9229.0,3.9124811187074893,In Stock,40.0
,,1.7019498581791859,Out of Stock,35.0
,6409.0,3.8431821737554244,Out of Stock,35.0
,6220.0,,In Stock,44.0
,9759.0,,In Stock,5.0
,7023.0,3.505974195903742,In Stock,
,6842.0,,In Stock,14.0
,5062.0,,,17.0
C,3730.0,1.336815720645423,,42.0
,2291.0,,In Stock,29.0
,5948.0,,Out of Stock,
D,6160.0,,,1.0
A,3472.0,1.5674101297334122,,
,993.0,3.714865605632546,In Stock,41.0
,8700.0,,In Stock,30.0
B,2998.0,4.0855145915665805,In Stock,7.0
C,,,In Stock,29.0
,6281.0,2.7161341338275706,In Stock,41.0
D,1157.0,2.1687443152365913,,25.0
,7092.0,,In Stock,25.0
C,,,Out of Stock,34.0
C,4037.0,1.4799516752759847,In Stock,43.0
A,8210.0,,Out of Stock,10.0
A,6791.0,,,33.0
,219.0,3.3462223210171826,,25.0
,4601.0,,,33.0
A,5393.0,1.076529754775847,In Stock,47.0
,2042.0,,,20.0
C,3441.0,2.0725125805758653,In Stock,37.0
,5040.0,2.8468233440122326,In Stock,39.0
A,3933.0,3.095869691273622,,21.0
,3098.0,,In Stock,21.0
,5659.0,,In Stock,23.0
B,6606.0,,,45.0
,4650.0,3.3630351600854507,In Stock,3.0
,4578.0,,,22.0
,367.0,4.611745323715669,,38.0
C,5908.0,,,35.0
,7765.0,,,35.0
,860.0,,In Stock,28.0
,,2.684314027292629,,30.0
A,4207.0,,Out of Stock,15.0
C,4576.0,,,
,4687.0,2.9938655005217956,,49.0
,2018.0,4.974365910175197,,34.0
C,8305.0,2.9378833606705044,In Stock,31.0
,4499.0,4.720944427861104,In Stock,13.0
,8795.0,,In Stock,15.0
,3502.0,4.624240557843681,,30.0
,3947.0,,In Stock,39.0
,9466.0,,In Stock,34.0
,8214.0,1.5549002821172042,In Stock,19.0
C,6046.0,1.2165108660654584,In Stock,12.0
,6731.0,,,24.0
A,8200.0,,In Stock,22.0
,7809.0,,In Stock,17.0
A,4330.0,,,35.0
,1999.0,,Out of Stock,29.0
,193.0,,In Stock,39.0
,4765.0,,Out of Stock,27.0
D,9415.0,,,3.0
C,4025.0,,,42.0
,3141.0,,In Stock,13.0
,6168.0,,Out of Stock,24.0
,5146.0,,In Stock,23.0
,,1.4952618710386543,Out of Stock,47.0
,1525.0,4.973268895808591,Out of Stock,46.0
,7785.0,1.4218983359461497,Out of Stock,39.0
A,4204.0,1.856500574941573,,15.0
D,9107.0,2.4692634625224508,In Stock,23.0
B,,,In Stock,37.0
C,5684.0,,,35.0
,2809.0,3.8983577552257755,Out of Stock,28.0
,8837.0,,,48.0
