Distance_Miles,Weight_kg,Transit_Days,Fuel_Index,Handling_Score,Carrier,Shipping_Cost_USD
155.3,98.0,3,0.93,0,FedEx,448.0
117.7,63.65,15,0.93,10,USPS,482.0
785.3,478.71,11,0.95,6,USPS,1016.0
194.1,217.06,6,1.2,7,USPS,639.0
410.1,304.55,8,0.92,3,UPS,789.0
115.0,194.39,8,0.99,8,DHL,572.0
946.9,29.72,8,0.99,2,USPS,695.0
727.9,310.57,2,1.17,5,USPS,698.0
735.2,35.72,11,0.82,1,USPS,720.0
449.1,64.1,2,1.0,7,DHL,381.0
372.1,268.96,3,1.16,8,DHL,619.0
66.7,105.74,15,1.11,10,FedEx,663.0
95.6,152.31,7,0.84,1,USPS,458.0
819.6,384.32,7,1.16,5,UPS,906.0
823.6,267.18,8,1.11,2,DHL,751.0
627.5,292.45,14,1.11,5,UPS,817.0
151.0,493.74,15,0.97,6,FedEx,969.0
419.9,31.04,2,0.96,4,FedEx,319.0
796.3,79.15,5,1.16,4,UPS,796.0
215.1,491.24,7,0.85,8,DHL,716.0
125.6,430.3,14,0.8,0,FedEx,976.0
312.8,24.31,3,1.06,4,USPS,
199.2,130.06,14,0.92,5,DHL,599.0
100.4,119.31,6,0.95,0,USPS,582.0
160.9,136.45,12,0.85,6,FedEx,704.0
553.6,194.93,10,0.88,7,FedEx,798.0
769.5,472.02,9,0.89,7,UPS,990.0
564.8,446.18,12,0.99,6,DHL,924.0
943.1,229.91,15,0.97,5,UPS,1009.0
120.9,438.08,6,1.11,7,USPS,614.0
947.2,291.6,8,0.85,2,UPS,836.0
401.0,437.29,12,0.85,1,UPS,923.0
621.0,205.66,14,1.13,3,UPS,941.0
478.3,114.51,6,1.19,10,DHL,847.0
637.3,108.07,9,0.92,6,USPS,563.0
548.8,497.74,4,0.94,7,FedEx,802.0
708.1,484.29,2,0.99,4,UPS,908.0
353.0,414.16,3,1.03,5,UPS,636.0
632.1,211.92,12,1.05,4,UPS,653.0
127.4,289.46,4,0.92,3,FedEx,586.0
843.7,138.45,10,1.15,4,USPS,844.0
382.5,10.43,3,1.07,5,DHL,455.0
879.3,20.04,12,1.19,10,UPS,653.0
512.0,399.72,7,0.83,2,USPS,912.0
375.5,196.66,9,0.88,2,FedEx,660.0
572.7,366.01,2,0.91,6,FedEx,720.0
933.3,78.96,9,1.02,4,UPS,659.0
372.7,423.65,4,1.09,7,FedEx,804.0
513.8,434.0,1,1.03,4,FedEx,757.0
73.0,336.58,12,1.1,1,FedEx,834.0
437.9,190.91,13,1.14,6,DHL,750.0
117.6,426.62,5,0.87,2,USPS,767.0
750.3,99.61,8,1.1,5,UPS,578.0
80.4,151.87,8,1.16,1,USPS,617.0
302.5,233.55,4,0.89,5,DHL,426.0
974.6,,9,1.15,4,DHL,1072.0
918.4,41.7,4,0.94,9,UPS,810.0
242.9,113.44,9,0.92,8,FedEx,549.0
330.6,283.22,1,0.93,5,FedEx,797.0
231.6,483.97,7,1.07,4,UPS,1029.0
865.8,222.38,6,0.82,5,FedEx,733.0
801.2,428.06,9,1.1,4,USPS,929.0
48.8,243.97,13,1.05,8,FedEx,876.0
412.9,402.79,11,0.95,9,USPS,934.0
384.3,269.64,11,0.95,0,USPS,800.0
244.2,306.23,4,1.18,3,USPS,837.0
506.0,,3,1.02,8,DHL,648.0
162.4,429.63,12,1.01,4,UPS,814.0
101.2,89.17,9,1.03,6,DHL,607.0
140.1,294.23,6,0.89,6,FedEx,648.0
606.0,375.55,4,0.88,9,FedEx,1042.0
945.6,436.89,4,0.87,9,UPS,787.0
368.6,34.41,12,0.98,9,FedEx,665.0
534.3,356.55,15,0.98,5,USPS,949.0
14.6,145.7,10,0.85,8,UPS,466.0
680.7,427.22,12,0.8,5,DHL,940.0
817.0,370.06,4,1.18,0,FedEx,999.0
324.9,293.94,1,0.95,3,DHL,459.0
853.8,16.57,7,1.03,7,FedEx,695.0
828.7,423.81,15,0.96,6,DHL,935.0
557.1,458.27,4,0.94,7,USPS,879.0
949.7,297.36,15,0.9,2,UPS,798.0
421.2,220.15,10,1.15,8,DHL,652.0
974.1,291.73,15,0.89,3,FedEx,1060.0
697.4,197.27,10,0.98,6,UPS,763.0
124.2,461.99,11,1.06,5,UPS,830.0
708.0,398.71,4,1.0,5,UPS,771.0
470.1,239.96,5,0.95,3,DHL,538.0
50.6,145.05,12,0.9,3,USPS,439.0
903.7,95.97,13,0.99,5,USPS,632.0
67.3,97.06,9,0.88,1,FedEx,483.0
734.0,199.75,9,1.14,7,UPS,953.0
626.3,269.41,3,1.05,8,UPS,724.0
819.4,426.48,5,0.94,5,FedEx,1021.0
826.2,39.39,12,1.17,5,UPS,6943.0
821.4,190.85,10,1.16,5,FedEx,876.0
605.5,455.34,6,1.06,3,DHL,850.0
761.7,66.38,6,0.97,2,USPS,530.0
814.3,113.26,8,1.14,10,DHL,918.0
744.2,345.63,10,1.03,3,UPS,1059.0
368.3,207.37,14,0.96,2,UPS,551.0
482.7,185.51,7,1.13,6,DHL,676.0
86.4,186.47,11,0.8,0,UPS,632.0
365.8,365.28,13,0.89,9,USPS,725.0
922.2,86.11,6,1.03,6,USPS,850.0
79.1,288.72,14,1.19,9,USPS,830.0
546.8,279.87,7,0.99,3,USPS,675.0
607.6,102.89,1,1.02,0,UPS,491.0
440.4,472.46,6,1.06,6,FedEx,897.0
442.4,63.08,12,0.8,10,FedEx,548.0
280.8,108.53,12,1.18,8,DHL,568.0
404.4,38.25,8,1.19,10,DHL,678.0
924.2,364.35,15,1.18,7,DHL,1134.0
257.2,372.66,13,1.01,0,UPS,871.0
844.6,256.99,9,1.04,7,USPS,914.0
582.0,233.85,7,0.86,4,FedEx,530.0
669.0,278.78,4,0.85,6,UPS,888.0
487.2,291.27,11,1.1,3,FedEx,617.0
813.4,148.32,12,1.2,2,USPS,900.0
993.5,271.39,14,1.15,6,DHL,6434.0
554.8,272.85,8,1.13,5,UPS,855.0
635.6,135.0,10,0.96,5,UPS,640.0
735.6,319.07,8,0.97,1,DHL,1081.0
101.3,158.82,3,1.18,6,DHL,282.0
102.6,291.11,7,0.83,0,FedEx,550.0
576.4,68.84,5,0.88,1,UPS,427.0
903.4,334.69,13,1.16,3,UPS,1021.0
452.1,414.97,9,0.99,8,DHL,811.0
39.7,447.43,13,0.8,2,UPS,809.0
243.6,470.98,3,1.0,9,DHL,824.0
272.5,413.52,12,1.06,7,FedEx,734.0
572.0,38.9,15,1.0,6,UPS,700.0
800.1,133.59,1,0.84,4,USPS,456.0
216.1,269.14,1,1.14,7,UPS,601.0
534.6,460.45,9,1.11,1,FedEx,720.0
385.5,250.88,3,1.08,5,FedEx,640.0
214.1,282.91,15,1.08,2,UPS,627.0
782.9,464.48,6,0.91,1,DHL,806.0
19.5,476.99,13,1.11,0,DHL,641.0
280.5,154.61,1,1.06,1,USPS,505.0
935.2,245.36,11,1.13,5,USPS,991.0
736.5,40.09,3,1.15,0,USPS,461.0
39.1,125.73,6,1.15,8,UPS,507.0
584.3,415.95,6,1.17,6,DHL,845.0
689.7,127.28,11,0.81,7,FedEx,726.0
973.4,316.85,9,0.94,3,USPS,1068.0
941.1,102.12,15,1.05,4,USPS,793.0
438.5,380.59,4,0.92,10,FedEx,761.0
752.5,62.97,2,0.89,6,DHL,642.0
720.1,226.13,3,1.07,7,DHL,695.0
774.4,224.91,8,1.08,1,UPS,798.0
932.9,350.39,1,1.15,1,UPS,912.0
699.7,56.35,8,0.95,2,USPS,625.0
76.2,216.76,10,1.1,6,USPS,548.0
613.8,4.76,13,0.99,8,USPS,703.0
613.6,427.43,2,1.17,8,USPS,944.0
997.2,98.95,9,0.96,5,DHL,758.0
774.9,265.18,6,0.81,1,DHL,831.0
817.5,286.25,7,1.2,7,USPS,910.0
,76.9,8,0.85,10,USPS,578.0
229.2,109.07,13,0.83,3,DHL,543.0
210.6,478.38,7,1.01,0,DHL,6819.0
948.7,413.69,10,0.86,10,DHL,835.0
138.7,496.06,3,1.18,7,FedEx,862.0
630.2,21.38,11,1.01,7,USPS,618.0
907.1,137.16,7,1.09,2,DHL,802.0
767.3,276.78,13,0.9,0,UPS,838.0
290.4,281.28,15,1.16,3,DHL,886.0
720.2,452.05,9,0.96,5,USPS,1104.0
516.4,402.11,5,1.01,0,FedEx,899.0
108.1,129.66,8,1.19,2,UPS,595.0
340.7,392.1,7,0.92,8,UPS,644.0
963.5,274.8,9,0.94,9,DHL,834.0
25.3,273.62,8,0.88,2,DHL,647.0
924.7,47.01,4,0.96,4,DHL,793.0
492.6,463.37,9,1.2,9,DHL,983.0
323.1,31.26,5,1.19,3,FedEx,581.0
730.7,86.27,7,1.19,3,USPS,667.0
332.4,151.82,10,0.94,0,UPS,564.0
59.9,373.45,6,0.82,2,USPS,628.0
14.4,10.5,12,1.18,1,FedEx,441.0
210.2,3.38,5,0.98,1,UPS,292.0
19.5,156.62,10,0.89,4,FedEx,484.0
286.4,141.79,13,0.81,10,UPS,585.0
314.9,6.54,9,0.95,1,DHL,273.0
648.9,385.06,2,1.0,0,UPS,577.0
217.3,360.74,11,0.83,10,DHL,575.0
815.6,453.53,5,0.98,0,DHL,775.0
208.6,364.84,7,0.97,10,DHL,686.0
398.3,10.4,12,0.92,4,DHL,335.0
565.1,211.32,8,0.96,5,USPS,614.0
199.7,349.51,1,1.08,0,USPS,474.0
955.8,463.46,7,1.07,3,USPS,1040.0
129.6,145.89,3,1.17,9,USPS,319.0
385.0,399.23,4,1.1,3,UPS,732.0
744.1,134.57,10,0.91,1,DHL,734.0
613.8,,14,0.85,7,FedEx,684.0
108.1,383.78,4,0.87,2,UPS,458.0
359.5,459.34,4,0.83,7,DHL,849.0
615.4,129.04,2,1.13,0,FedEx,453.0
684.6,429.94,14,0.82,0,DHL,821.0
441.3,204.56,15,0.92,9,USPS,755.0
735.1,142.41,15,0.96,10,UPS,945.0
755.9,270.66,2,1.19,9,DHL,910.0
757.0,449.17,2,0.83,6,FedEx,880.0
284.8,370.84,1,1.08,10,UPS,444.0
409.9,453.05,14,0.98,2,USPS,746.0
379.5,12.56,6,1.11,4,FedEx,475.0
699.0,105.47,10,1.01,9,DHL,824.0
628.6,143.55,11,0.99,5,FedEx,811.0
321.7,403.73,1,0.81,10,FedEx,582.0
640.1,84.15,9,1.1,0,FedEx,558.0
215.6,350.95,9,1.16,5,USPS,671.0
277.0,67.13,5,1.08,7,FedEx,
723.3,38.72,13,1.16,6,UPS,575.0
420.7,25.06,1,0.89,3,UPS,467.0
469.6,394.52,11,0.9,2,FedEx,714.0
251.6,23.65,7,0.94,10,DHL,414.0
431.8,463.29,6,0.93,2,FedEx,645.0
649.0,445.81,6,1.17,1,FedEx,990.0
388.8,157.22,3,0.8,2,FedEx,511.0
513.3,20.16,15,0.94,5,DHL,732.0
451.4,424.99,9,0.82,10,FedEx,795.0
740.2,331.17,15,0.92,8,DHL,826.0
264.8,23.97,4,1.06,2,USPS,599.0
24.4,323.8,12,1.14,7,FedEx,656.0
712.4,45.54,10,1.07,10,FedEx,781.0
585.7,275.81,9,1.11,0,UPS,795.0
810.8,65.71,3,0.89,7,USPS,477.0
417.5,404.93,1,1.05,5,FedEx,872.0
473.6,416.95,10,1.02,7,FedEx,903.0
499.7,41.15,2,1.19,0,UPS,420.0
34.6,93.21,12,0.83,10,DHL,525.0
271.8,126.98,1,0.98,7,UPS,411.0
136.3,299.3,9,0.88,5,UPS,568.0
227.3,172.13,5,0.86,8,DHL,486.0
726.3,263.42,13,0.86,6,DHL,888.0
364.1,168.89,10,0.85,6,FedEx,656.0
257.1,53.0,4,0.84,0,UPS,427.0
94.8,459.78,11,1.09,8,USPS,743.0
450.0,288.01,9,1.03,0,DHL,850.0
292.1,322.09,4,1.16,9,FedEx,739.0
735.0,272.22,14,0.91,5,FedEx,1002.0
427.9,206.04,12,1.01,4,FedEx,741.0
201.1,272.48,9,1.17,10,UPS,789.0
863.1,392.32,4,1.14,4,UPS,936.0
656.3,92.29,12,1.16,9,UPS,711.0
346.4,303.12,15,0.86,5,USPS,731.0
503.2,69.46,2,0.82,2,FedEx,492.0
335.8,316.77,1,1.14,0,USPS,658.0
653.3,180.13,1,1.03,9,UPS,699.0
161.1,11.23,12,0.81,3,USPS,370.0
162.2,276.66,9,0.83,0,DHL,578.0
598.8,227.51,1,1.0,8,FedEx,789.0
482.7,349.83,12,1.1,10,DHL,1004.0
30.7,47.04,5,0.84,5,UPS,569.0
920.9,243.5,8,0.92,8,FedEx,837.0
956.4,169.27,15,0.82,10,FedEx,924.0
977.0,304.46,2,1.08,1,FedEx,847.0
564.9,280.46,9,0.96,2,FedEx,644.0
,420.36,14,0.93,0,USPS,941.0
67.3,217.59,9,1.15,7,FedEx,619.0
605.3,100.8,1,0.88,6,FedEx,641.0
67.7,66.24,6,1.01,1,USPS,197.0
389.7,370.99,7,0.86,0,DHL,777.0
682.1,178.61,6,0.8,5,DHL,658.0
507.6,174.57,14,1.08,8,FedEx,697.0
862.3,281.07,8,0.86,7,DHL,909.0
203.6,64.85,4,1.16,9,UPS,242.0
707.6,42.23,2,1.13,3,DHL,612.0
960.7,85.42,1,0.87,10,USPS,744.0
437.2,79.77,7,0.89,4,UPS,283.0
,286.99,9,0.83,4,DHL,567.0
244.8,29.84,9,0.92,0,UPS,507.0
88.6,105.78,14,1.07,5,USPS,616.0
634.1,304.99,6,0.93,2,DHL,660.0
949.5,211.17,3,1.01,2,UPS,1011.0
234.0,129.1,3,1.19,5,UPS,472.0
506.2,104.59,15,1.0,3,DHL,559.0
935.3,63.87,8,0.94,10,UPS,842.0
92.1,164.69,9,1.05,0,UPS,655.0
800.6,468.09,8,0.88,9,DHL,955.0
293.8,393.75,1,0.89,1,UPS,535.0
661.3,450.02,13,0.99,10,DHL,1185.0
100.2,5.79,6,0.96,0,USPS,335.0
925.7,147.9,14,1.13,9,DHL,801.0
706.0,12.78,10,0.92,9,USPS,772.0
791.7,54.29,9,1.04,7,DHL,606.0
713.1,16.75,2,1.08,9,FedEx,514.0
129.7,97.41,15,1.11,8,USPS,441.0
757.0,89.77,10,1.08,2,USPS,784.0
852.3,300.18,7,0.92,3,DHL,793.0
210.8,248.49,9,1.06,7,FedEx,579.0
155.9,214.99,11,0.87,6,FedEx,789.0
615.2,415.78,5,1.05,5,DHL,933.0
484.5,315.68,14,0.86,3,UPS,894.0
908.5,107.14,4,0.93,5,FedEx,688.0
62.7,233.29,5,0.83,5,FedEx,577.0
173.5,142.19,2,0.97,6,UPS,649.0
210.0,362.41,1,0.95,9,DHL,563.0
449.8,430.06,11,0.87,9,UPS,727.0
959.4,214.04,2,0.87,5,UPS,859.0
348.0,306.83,1,1.13,4,FedEx,699.0
236.6,352.1,15,0.92,9,DHL,648.0
113.6,43.7,8,1.19,2,FedEx,379.0
941.8,32.91,12,0.95,7,USPS,828.0
313.3,206.42,12,1.07,7,UPS,618.0
156.8,331.12,10,0.86,2,UPS,641.0
642.8,432.05,15,1.11,9,USPS,955.0
849.5,389.91,7,0.93,7,UPS,929.0
460.2,272.82,14,1.18,9,UPS,737.0
312.8,86.03,9,1.05,10,FedEx,657.0
611.9,351.26,2,0.9,0,FedEx,764.0
747.2,451.04,9,1.0,6,USPS,1078.0
60.2,245.78,3,0.91,1,DHL,528.0
741.8,203.83,11,1.12,6,DHL,793.0
721.6,119.06,13,1.18,0,UPS,759.0
902.7,150.97,6,1.1,0,UPS,684.0
185.8,62.17,1,1.03,9,FedEx,447.0
933.0,105.64,9,0.95,0,USPS,732.0
619.5,249.69,11,1.13,9,DHL,768.0
105.7,162.65,9,1.02,9,USPS,499.0
321.7,409.85,11,0.82,5,DHL,717.0
505.7,181.65,6,0.97,3,FedEx,389.0
874.0,88.05,1,1.03,2,DHL,655.0
913.4,152.34,5,0.8,4,FedEx,675.0
235.9,32.43,5,0.88,4,DHL,316.0
966.8,40.49,9,0.97,0,DHL,791.0
744.1,165.57,5,0.8,4,USPS,608.0
354.1,480.34,13,1.04,3,UPS,1064.0
164.2,398.76,12,0.93,7,UPS,887.0
98.0,336.43,5,1.16,6,UPS,777.0
227.7,444.2,8,0.99,7,UPS,726.0
180.1,285.78,11,1.09,1,DHL,692.0
440.7,347.71,2,0.82,5,UPS,607.0
885.2,68.23,6,1.18,2,UPS,792.0
233.3,109.25,10,0.99,2,UPS,396.0
723.3,268.17,4,1.16,4,DHL,957.0
838.1,207.37,13,1.02,4,FedEx,823.0
456.9,136.78,13,0.84,3,DHL,745.0
734.9,392.58,1,0.95,7,FedEx,864.0
649.1,279.37,12,0.84,8,DHL,936.0
489.1,98.59,2,1.15,6,FedEx,692.0
993.4,16.0,14,0.87,6,FedEx,877.0
324.3,201.61,13,0.97,8,USPS,638.0
741.2,39.72,4,0.91,3,FedEx,489.0
492.7,259.07,2,0.8,5,FedEx,642.0
572.5,445.89,3,0.87,2,DHL,812.0
676.8,149.62,15,0.9,4,FedEx,621.0
922.2,116.22,4,1.15,2,USPS,635.0
587.0,386.87,10,1.01,1,DHL,962.0
317.7,487.61,8,1.04,2,DHL,780.0
662.4,469.92,5,1.01,6,FedEx,923.0
314.7,364.89,6,1.04,2,UPS,892.0
921.8,205.38,8,1.17,8,FedEx,883.0
