rainfall_mm,soil_quality_index,farm_size_hectares,sunlight_hours,fertilizer_kg,crop_yield
1867,5,51,8,661,104
1652,4,924,12,2521,569
1147,6,490,6,721,304
1995,6,939,11,2235,585
1586,3,857,7,1113,503
1662,9,757,9,2161,488
1092,7,881,9,2280,532
891,1,448,6,2060,293
918,7,411,8,1157,269
788,5,555,6,691,324
878,5,354,4,682,225
730,2,902,10,1713,510
1517,4,54,7,1201,103
540,6,655,10,388,362
1551,10,30,6,1668,113
634,7,643,8,1543,384
700,5,79,8,106,71
1279,9,873,5,1283,517
1429,3,882,5,339,495
1556,1,57,7,2086,118
1571,4,500,7,1546,335
1002,9,560,7,2683,380
906,4,296,9,1849,219
1304,2,19,5,2217,95
598,10,551,9,2003,352
1183,5,765,10,2363,474
1225,3,283,6,1177,206
1460,9,965,11,2953,602
1112,4,609,5,2477,394
1985,6,765,11,947,472
1142,2,390,8,1411,260
1528,6,338,5,2192,269
1741,3,488,10,2976,361
1002,9,24,5,2345,105
1266,2,525,9,1339,330
897,9,200,6,1604,176
1370,5,177,12,1432,167
1294,8,530,6,2479,368
892,2,630,6,795,360
706,6,146,8,126,108
1538,3,163,10,2465,182
1391,10,397,11,2512,310
1984,5,218,10,1059,199
1363,8,281,12,1626,229
1242,10,152,8,1968,171
1764,1,620,6,472,373
1063,5,898,9,2049,531
1520,3,829,8,344,472
595,4,78,7,1940,102
984,2,256,5,1776,196
1930,9,270,10,2625,262
730,3,797,8,224,430
1248,2,88,7,636,97
1694,10,667,11,2853,460
1040,9,632,12,2019,405
1559,7,779,12,1735,484
1024,6,614,6,1525,379
1683,1,534,6,1640,351
1766,5,781,8,630,465
1609,3,947,8,2933,585
1077,1,630,5,353,355
1181,4,339,4,2268,257
1056,2,198,11,760,149
1512,2,104,6,1901,138
1145,3,626,4,1160,375
1295,8,17,4,1465,91
1551,8,76,5,1136,122
1863,7,505,9,1306,347
1854,6,200,9,2235,211
1871,9,375,6,2193,304
1996,4,777,7,1242,480
1754,1,530,5,1654,351
689,8,999,5,1855,572
1748,7,126,10,2065,170
1908,7,276,4,844,225
1900,3,620,10,1729,407
1806,4,494,4,1066,329
1132,10,518,9,862,329
1127,9,307,6,2909,262
1472,6,918,11,893,532
1782,5,173,9,843,166
1882,3,385,5,1169,277
1209,9,662,11,1631,417
1979,5,277,8,657,220
1934,5,558,11,2094,388
1148,4,83,11,625,96
817,4,517,9,2744,345
1748,1,82,5,939,113
1757,7,317,11,102,226
1183,9,208,9,1151,179
1163,3,139,9,1504,139
1897,2,767,11,256,449
1995,3,833,4,2037,521
1756,1,581,5,2054,385
1636,6,800,12,610,472
941,7,624,11,786,369
1063,2,817,10,1237,468
1791,8,841,10,1512,519
1909,6,496,8,1610,348
1910,4,862,5,670,508
1636,5,160,9,814,154
1451,8,678,6,1438,426
1604,3,215,7,2386,208
1198,3,995,5,2450,587
612,4,188,5,2754,174
501,1,206,11,1090,141
1141,9,744,11,433,432
719,8,98,9,2260,131
1354,8,808,8,1744,494
1748,10,443,11,461,302
884,6,797,7,1980,475
1926,7,757,7,2948,508
1653,6,192,8,2244,201
1576,9,218,4,2081,214
1229,3,502,4,2163,336
1939,3,139,5,2703,186
746,3,674,11,2077,406
1335,10,22,10,475,80
1962,3,643,12,841,402
702,9,880,8,489,488
1707,4,741,5,2767,484
622,7,115,10,1340,116
900,9,384,11,923,255
1266,7,591,10,2467,396
793,9,716,10,2343,446
779,3,707,8,517,392
1383,4,108,5,706,116
697,8,603,9,667,351
1481,6,596,7,643,366
1251,5,895,5,2378,541
643,4,861,12,983,477
1108,8,201,10,2668,202
1724,1,334,9,802,236
1647,9,988,8,1323,587
686,1,735,6,2993,449
1849,8,836,7,2820,545
963,4,965,6,1722,552
1872,9,476,11,2168,355
1159,5,903,6,2735,550
1263,3,376,10,1886,269
1454,9,327,10,1719,258
902,9,153,10,1557,152
1869,4,393,10,2518,310
646,4,225,5,1683,172
1671,8,370,6,2014,290
1363,2,333,12,177,214
988,9,24,6,1408,86
1428,6,226,5,747,181
1050,9,501,12,2287,345
837,8,960,12,652,533
1371,7,556,7,1097,354
1140,1,192,12,381,139
972,3,279,6,1381,201
650,2,954,10,1946,538
1938,5,476,10,1483,335
1821,5,879,11,2587,555
762,5,621,7,2417,390
643,4,528,6,1257,315
845,5,551,6,2893,367
1123,3,476,8,203,281
1516,1,314,4,865,220
1380,5,994,6,2242,592
501,9,153,9,2876,166
1396,9,120,6,1696,152
1827,4,241,8,579,194
753,3,700,12,2927,436
952,1,593,5,2160,369
1560,2,731,5,2063,456
1683,8,741,9,2748,491
1514,1,601,9,2242,392
508,8,509,11,2440,334
1756,7,604,5,2172,411
1622,8,563,12,1395,373
1315,6,282,5,1628,224
707,9,712,4,1289,419
1654,3,182,5,1038,166
903,10,982,10,861,554
651,4,16,11,753,50
553,6,164,8,1769,145
1643,8,531,9,2785,385
1127,5,555,4,2638,372
1086,3,557,9,2031,357
1943,6,930,11,1226,559
1945,4,527,6,2025,369
603,9,929,4,674,512
753,3,923,7,2441,538
1750,4,224,4,1429,199
1635,7,143,11,1377,161
1009,7,294,8,1303,216
1996,4,135,4,139,137
598,6,930,11,2923,552
652,3,448,12,619,261
1413,6,858,5,1739,517
1377,2,695,12,2693,446
837,8,161,11,2383,168
1321,2,340,10,562,224
1686,7,547,6,1351,364
1456,9,392,5,1948,295
660,1,124,10,582,94
1300,8,903,8,2577,557
897,7,491,9,442,294
1800,6,293,7,1296,237
1315,6,908,5,1562,535
1915,6,84,12,1302,137
1658,9,175,6,1721,188
1718,2,198,10,2280,199
900,1,87,11,2498,122
1139,6,956,5,2653,576
1556,10,611,9,2231,416
1187,8,697,11,1092,421
959,3,30,10,2977,108
1454,10,575,6,2490,400
969,1,193,4,1289,152
1898,9,880,9,2440,563
1545,1,231,11,1703,197
1249,3,836,9,1293,486
537,8,337,8,697,213
729,3,188,11,744,136
1888,4,797,5,547,473
1062,8,121,4,2837,164
937,1,745,4,2649,454
1806,6,735,7,863,450
526,1,68,9,834,67
725,1,336,12,1742,226
1800,8,914,4,2397,573
1297,4,630,4,700,374
783,1,906,8,2272,523
1378,10,678,8,2260,444
1459,7,200,8,1080,178
952,5,209,9,1882,180
1519,5,321,11,2297,261
1315,1,717,6,2490,448
1158,10,44,12,679,90
1046,6,388,4,882,253
1715,9,396,7,2468,316
1572,9,767,12,2969,507
516,8,246,11,631,166
1695,5,625,12,1612,405
1743,1,528,4,2639,369
657,9,292,12,711,197
976,1,10,6,2399,83
1569,8,740,12,2105,474
1896,5,473,4,1200,326
1017,3,239,4,1770,190
598,7,976,12,1515,549
1560,7,181,9,1535,181
779,9,96,7,2320,134
1872,7,562,10,974,370
996,3,132,8,2348,148
801,1,852,10,316,457
680,8,307,11,475,198
1106,3,894,11,1709,519
1622,8,938,4,110,534
1199,8,699,11,1713,435
1492,5,584,9,2582,397
1639,1,493,7,917,315
690,10,174,11,1396,155
752,7,708,6,790,405
1480,10,392,7,1699,293
1427,5,218,9,1632,193
1684,8,748,10,1255,465
1779,9,441,7,2047,332
1846,7,398,7,883,285
627,7,569,10,2466,366
517,1,233,9,2991,193
1065,4,12,11,2072,86
1069,2,381,4,1976,264
1846,2,696,10,2768,462
1185,2,455,10,884,284
1125,4,620,10,496,361
1811,1,125,10,1181,141
1353,4,279,11,1603,219
1461,2,456,12,2133,318
654,5,377,12,1714,252
989,3,262,5,559,176
1909,8,326,10,2208,279
1284,4,424,10,2516,308
1627,1,104,7,2866,159
1916,1,794,12,645,469
745,10,901,11,2643,545
1699,3,33,4,596,84
1562,9,637,5,604,394
2000,7,672,5,1192,432
1258,2,859,11,2308,516
1037,9,59,4,1737,112
1420,10,511,7,817,333
907,2,727,8,1692,427
1024,3,507,12,1508,320
1327,10,344,10,368,238
1402,2,88,11,2046,130
535,3,591,12,1577,348
1184,6,36,10,2846,121
519,9,280,8,1641,205
820,9,571,8,964,346
1011,7,813,9,2497,500
899,3,256,8,209,164
1153,4,785,12,2554,485
1471,6,600,6,749,370
970,5,396,6,2198,280
1666,2,711,10,1599,440
1615,6,568,10,1210,368
1877,3,982,9,695,566
1333,8,370,6,1078,261
1226,2,875,10,830,494
1353,1,993,8,156,541
550,9,497,10,2885,340
1074,3,361,5,2343,264
1713,1,710,9,1883,445
1648,7,937,11,1801,567
649,10,265,4,1386,198
813,5,231,7,211,153
1069,5,893,4,2912,545
1865,1,762,4,810,454
804,9,790,11,1301,462
1181,7,10,10,1047,74
1337,8,555,4,125,335
1577,9,455,5,2557,342
1502,6,88,7,857,117
943,5,245,4,2678,213
1112,6,343,6,1900,253
1492,2,898,11,1655,530
763,4,358,11,2896,267
1576,3,107,11,1941,145
1503,7,91,9,2393,151
504,9,511,9,1204,312
1626,5,976,8,761,561
1719,6,486,12,1008,326
1273,10,936,7,2543,576
1376,2,713,10,621,413
1491,3,774,4,1956,475
1383,3,930,12,1859,549
1873,9,559,10,2411,401
546,7,23,12,889,59
1366,8,401,10,1397,284
1322,10,356,5,1829,273
1435,9,319,9,271,225
1155,6,395,7,364,250
768,4,218,6,2086,180
869,1,366,5,1149,233
1135,8,983,9,1592,572
1629,7,610,11,1985,407
1156,2,577,9,575,338
619,8,103,12,2503,135
1330,5,102,8,1149,123
1581,7,349,5,133,237
1869,4,606,11,2411,414
1240,5,454,12,1261,299
1997,8,766,7,915,476
616,1,31,9,853,52
1290,1,300,11,665,203
1650,4,494,12,561,315
1916,3,793,8,1754,494
1512,10,315,9,2802,278
1581,2,643,7,180,375
1133,3,137,8,2904,165
1012,1,634,10,2037,389
1301,1,948,12,969,534
1619,6,282,9,1530,231
1641,5,857,9,1169,510
1059,8,451,11,698,286
987,2,512,7,1734,323
1760,4,139,6,906,147
1396,8,141,10,2034,168
1795,6,606,8,1176,391
1712,1,944,5,803,540
1203,4,491,5,2623,341
1970,1,871,9,2739,550
1080,2,399,11,2163,278
1289,5,602,4,586,360
1360,8,994,9,805,569
746,8,334,5,1625,236
1599,3,78,5,1264,117
653,4,669,10,719,375
1958,10,457,4,876,323
1496,6,537,9,546,335
1609,10,828,10,2437,530
1196,3,626,11,308,360
1808,2,174,10,1598,176
1743,6,497,9,2560,363
1592,5,722,12,2824,474
1570,10,718,6,1550,456
1508,5,435,9,1977,311
593,10,706,7,2811,446
1457,5,843,5,2437,522
1511,10,274,4,1391,229
952,5,884,4,2298,525
1727,3,621,6,1842,404
1411,7,351,7,1378,258
717,6,841,5,1500,483
973,4,735,4,1776,439
931,2,287,7,954,193
840,9,683,10,1481,413
1050,1,448,9,2755,312
1812,4,166,9,2517,195
1777,1,431,12,804,286
856,6,260,5,925,185
522,4,887,7,1104,488
1021,5,618,8,476,358
1623,5,539,4,1072,348
1301,9,336,11,217,228
1703,1,970,11,543,548
1746,2,904,9,854,524
1261,6,106,8,739,116
941,5,522,11,2271,344
1268,7,225,6,2805,219
1515,3,141,6,1400,149
1848,3,269,5,2969,254
1015,10,134,8,2811,172
1539,2,91,6,2507,144
1291,3,292,6,722,204
835,10,692,9,1592,422
757,1,68,11,2108,100
996,5,553,5,1751,350
1395,5,170,7,1823,172
659,7,293,10,2019,220
1998,4,115,4,1018,144
1351,3,114,4,1273,127
1189,1,448,10,2599,313
879,8,237,10,1285,186
1456,3,709,4,219,407
1190,2,591,4,681,347
1950,4,327,7,2047,270
1791,3,473,8,2246,340
1940,1,811,8,1290,490
1691,3,608,7,1786,395
1566,2,891,11,2099,538
784,8,883,10,2661,533
896,6,481,12,2811,335
511,9,65,10,500,75
1825,8,634,4,2512,436
1776,10,22,10,1449,112
998,3,449,4,2728,313
1253,5,27,10,1756,95
534,7,703,11,720,395
1226,5,982,12,2975,596
1348,8,122,6,346,123
589,5,238,7,2581,197
1275,1,180,7,1216,153
1104,5,304,12,2762,250
1469,4,198,10,723,165
1521,6,435,6,2468,323
917,3,986,8,1939,564
614,5,88,10,2209,116
1116,2,667,11,399,378
1719,6,928,4,502,536
1325,6,191,5,1771,181
1598,5,508,10,352,318
912,6,807,5,1857,478
1899,7,771,10,2625,508
1943,5,875,12,1492,535
1228,1,835,5,2064,496
1800,8,717,10,259,433
1520,4,844,7,304,480
1260,9,80,5,1261,120
1175,10,257,10,1491,213
1917,6,155,8,957,165
956,1,627,4,859,360
1419,3,784,8,1690,473
691,3,305,6,2868,235
1238,10,591,10,2215,396
1622,4,479,9,232,300
1477,6,515,11,1823,349
1508,7,202,8,529,170
595,10,77,5,2455,124
1162,4,503,12,2797,350
1713,6,826,11,1297,501
536,1,61,9,2559,99
1892,8,891,10,196,521
778,7,372,12,1806,259
716,9,806,10,1277,467
1366,3,926,6,1818,545
1372,2,483,9,1365,313
1796,1,855,10,1427,511
561,3,530,5,1408,314
1095,5,772,6,1150,450
1228,2,440,7,1483,289
1865,3,853,9,2349,534
896,4,307,4,2909,245
1198,7,444,12,680,285
1542,3,705,8,2517,454
676,9,700,10,632,400
895,8,207,12,1275,171
944,4,137,12,1225,129
1756,1,541,4,998,344
575,1,993,4,2754,569
764,1,420,6,1569,265
954,1,943,9,1352,528
1217,8,849,5,869,493
1234,3,74,4,933,97
1907,6,703,4,2004,459
1350,3,250,8,2383,218
1890,5,378,7,2309,301
643,7,545,4,653,317
1384,2,393,7,2935,299
1592,6,440,6,1191,302
1622,6,976,5,1296,573
895,3,92,12,1760,113
1548,6,991,4,658,566
1447,10,840,10,360,490
1390,10,706,7,2364,461
1992,5,960,8,1940,587
1674,2,837,8,1247,496
1667,9,620,4,904,394
1068,8,583,9,1285,364
1562,3,295,12,2348,247
608,8,998,5,2549,583
1565,9,543,10,374,343
1709,3,468,9,305,296
1434,3,221,8,1823,195
897,2,135,7,966,116
1746,8,422,7,192,282
1133,10,508,9,1165,330
1656,1,434,7,2526,318
1686,8,563,8,1451,376
1738,7,619,9,2212,419
1232,7,970,8,464,544
734,3,552,10,920,321
1157,1,167,12,1607,152
1250,4,121,10,2129,148
1087,9,411,10,2024,296
1532,5,768,7,2687,492
1597,1,131,4,1185,138
1453,5,282,11,2638,246
991,8,303,7,1396,224
1412,8,407,4,2376,308
1776,5,480,8,1143,325
1753,9,994,11,102,569
1697,1,216,7,1853,197
1691,4,119,11,1010,138
669,3,449,11,406,258
1916,2,287,6,2579,255
1445,8,972,12,235,549
1294,7,577,6,2032,381
1133,9,896,4,2662,552
1717,2,924,5,2340,563
528,4,578,9,1708,346
1688,6,949,5,1538,566
1945,3,491,9,972,328
838,8,812,4,1241,470
1888,3,123,4,765,138
1865,2,902,8,308,516
999,3,906,12,1051,509
1010,6,829,11,1157,479
1850,2,862,6,748,504
716,8,486,6,1441,308
1824,1,719,4,2267,460
1655,7,942,6,726,548
1593,2,330,4,624,228
1775,10,188,11,1704,200
1938,6,906,4,1968,561
944,2,228,8,868,162
1375,2,798,12,2659,497
1705,10,958,10,2194,593
666,8,537,7,871,321
590,2,501,12,839,288
1213,7,900,12,621,512
538,3,70,5,1500,86
1649,8,63,9,2281,141
1974,7,689,7,347,423
672,8,547,11,1441,338
1152,7,857,10,2583,528
1253,6,997,10,1958,586
1743,7,74,12,785,118
1581,5,621,8,685,380
975,7,595,9,2498,390
955,1,713,4,242,390
1328,1,180,9,1066,152
1394,9,282,5,2951,258
1884,5,898,9,817,531
1524,5,708,12,742,424
886,3,544,11,2648,357
847,5,400,12,469,244
689,3,949,11,1209,524
1004,9,702,6,886,415
1714,9,336,11,2886,294
1892,6,117,9,1583,158
1932,1,856,9,1049,508
1323,7,171,9,1448,167
1428,7,823,6,621,479
1433,10,461,4,2636,345
1640,10,215,7,2052,216
633,4,599,9,2544,376
557,8,25,5,454,53
1184,6,336,10,1046,235
1171,4,617,10,2435,399
672,4,668,7,1582,392
1314,2,11,7,1747,83
1672,2,19,4,635,75
579,4,443,5,1414,274
1385,5,134,12,2998,178
1736,8,90,11,2985,172
702,6,494,11,2315,325
1263,4,661,12,1049,397
1752,7,847,10,720,503
1750,8,159,12,527,158
1964,2,809,5,1825,502
1925,7,882,9,2637,564
546,2,349,6,2502,244
1756,2,138,9,2343,171
1828,8,447,6,644,306
1666,2,760,11,2864,490
1938,9,510,7,923,348
1896,1,67,9,1102,113
1782,9,207,12,758,189
1155,1,220,5,2927,204
970,10,923,5,2158,552
1470,10,911,10,2543,569
1535,2,54,5,830,92
1853,6,106,5,1932,158
1235,6,288,7,508,202
1283,1,544,12,2509,362
1467,7,419,11,183,270
857,8,470,5,2303,321
1471,2,400,11,806,263
1931,8,856,7,2061,542
1167,9,53,5,2619,130
872,6,36,10,2766,110
1531,5,803,9,1547,487
1645,9,106,8,233,124
1871,9,984,4,887,582
1175,1,557,5,963,334
589,3,630,11,766,353
1197,9,576,4,376,348
1839,2,713,6,1875,452
1701,4,228,5,981,191
1039,4,194,8,2160,178
1231,2,78,7,2489,128
1368,3,838,10,2182,509
540,3,139,8,2706,145
1239,1,576,11,1337,353
1001,6,899,7,2552,541
1458,8,618,9,2805,424
1668,3,857,7,258,488
1724,5,608,5,1233,389
1428,1,815,4,2696,505
960,10,640,4,1951,406
1231,7,729,11,378,422
1251,10,343,7,2626,280
1424,1,934,8,210,515
1408,9,163,11,2578,192
1776,8,556,10,641,359
889,7,88,11,1238,109
1382,10,588,11,459,364
755,7,864,9,2519,518
1208,5,422,5,1338,282
949,5,555,9,1856,352
509,5,618,4,1054,354
1323,1,178,4,2406,177
1297,8,690,6,2925,457
1765,1,672,6,2267,435
1774,4,592,8,1075,378
1376,9,524,4,1012,340
1528,9,323,9,1251,249
1642,5,41,10,822,95
1515,4,296,6,2670,253
873,3,603,7,1811,369
1588,3,52,6,424,87
645,5,912,4,1629,516
723,10,626,11,1649,387
1762,1,10,5,1173,82
676,5,582,4,2045,361
1352,6,279,11,1707,225
1805,7,189,10,2216,206
562,9,745,10,490,416
1740,3,527,7,2530,371
1326,2,112,12,115,101
1294,3,19,9,945,72
1188,9,592,5,968,368
1984,7,99,4,667,135
604,9,235,4,2279,198
1622,2,679,12,2119,434
1010,5,749,7,2420,462
884,4,926,8,1746,531
904,2,135,6,2631,150
1322,9,965,7,2697,593
1017,9,218,11,456,166
975,6,106,7,1756,128
1208,6,83,12,2380,137
1270,8,636,12,135,374
1960,6,200,9,2560,221
1546,1,691,5,1127,415
1496,4,828,10,2191,510
1176,7,969,12,2715,587
1213,2,725,9,2887,460
1981,9,65,6,213,113
582,8,729,10,1872,434
1668,8,562,8,2544,397
1608,7,41,4,1297,107
1601,4,536,6,1378,350
956,2,583,8,565,334
500,3,676,10,1587,390
550,6,293,6,946,193
1184,5,730,9,601,421
1216,8,841,8,540,483
1969,6,503,4,2216,365
948,6,196,9,425,146
1380,1,507,11,1865,333
987,4,451,4,166,265
533,5,139,5,403,102
1871,3,648,7,1071,406
594,9,301,5,583,196
1595,1,123,12,1028,131
653,6,208,11,1540,165
749,6,22,11,248,50
1173,10,280,7,2731,249
937,5,610,8,2395,390
617,5,224,7,1224,164
1270,10,453,12,2849,341
1829,5,799,5,195,467
767,6,521,11,381,302
1577,8,456,5,2469,339
735,2,995,4,628,535
888,6,724,6,2410,447
1489,1,83,12,1742,122
1262,4,546,6,679,331
900,10,110,12,1763,136
1123,3,185,10,2441,180
1266,9,436,4,1731,307
1826,3,126,8,2542,173
1418,6,175,12,2660,194
1730,1,50,6,909,96
1752,6,438,12,792,299
1352,4,353,8,334,231
1077,8,433,12,1051,285
574,9,375,9,1954,261
934,4,129,12,1460,129
602,10,618,10,1131,369
1945,10,666,10,1566,442
1263,6,737,11,2064,459
1237,1,238,10,638,170
1305,4,834,12,919,482
1829,7,139,12,1781,173
597,1,361,9,371,207
1297,8,898,10,1128,525
1858,10,327,5,2022,278
1358,6,993,12,1342,575
934,5,658,4,1241,390
946,10,845,4,692,483
1831,9,346,6,1705,279
748,2,282,9,214,171
665,5,126,8,2410,140
1483,6,827,5,1777,504
1858,7,377,12,1545,288
1519,5,103,7,306,112
1041,9,177,7,2450,185
1258,1,963,8,211,524
1629,7,724,11,1540,455
580,10,350,7,1982,251
632,7,670,8,284,372
1296,4,923,7,1864,544
1399,9,704,9,1000,431
637,5,934,6,320,501
683,4,161,11,1567,139
1924,7,595,9,1193,392
1853,4,886,8,2769,561
1284,3,922,5,2574,556
1483,9,283,10,2791,259
568,8,563,5,2715,367
1045,1,505,4,2112,326
552,7,733,10,2590,448
1973,9,110,8,700,145
704,8,566,4,1260,344
625,8,91,7,603,91
542,6,538,7,2278,342
610,4,82,10,317,73
1260,8,23,12,2835,121
1706,3,442,5,2318,323
1347,9,166,4,1598,172
594,2,744,5,711,407
1897,2,141,10,1252,155
1399,7,347,9,156,231
859,10,413,7,1304,277
1399,4,385,4,345,248
780,10,897,4,243,495
1718,8,568,8,467,360
1718,9,116,4,1582,158
1166,7,629,10,2365,410
592,5,274,4,715,177
1171,8,214,4,1981,196
560,4,88,5,1688,101
1133,2,164,6,2589,170
1574,6,792,4,2988,513
1926,9,997,12,798,589
1528,1,256,11,975,194
1989,10,540,8,1785,384
1103,7,867,5,2923,538
1181,10,957,8,2909,591
1033,9,547,9,1044,342
1928,10,738,4,1022,466
1337,9,163,7,1846,175
1144,10,163,12,124,137
732,3,695,5,2953,433
1023,5,101,8,1787,126
845,8,442,4,1659,294
1569,8,347,7,2911,293
1045,4,489,7,1183,306
1601,1,702,9,533,411
1596,1,140,12,1189,143
1293,4,459,6,2712,329
748,6,819,12,2051,484
546,8,796,9,2253,474
1644,6,282,10,195,205
713,9,938,5,267,512
738,9,597,9,2189,381
1579,2,186,9,2002,183
849,10,705,5,2251,441
606,1,840,5,1968,478
1330,2,652,5,2667,422
547,5,884,4,2098,509
836,4,58,8,2429,109
1549,4,576,11,1233,366
1303,9,675,5,2110,435
1780,8,364,8,848,267
507,6,721,11,1991,427
1124,1,317,8,930,212
1776,2,877,5,148,497
1218,6,894,6,214,498
802,2,639,9,1278,372
1138,10,784,8,1772,480
555,5,55,7,2650,106
1225,5,311,7,170,204
1025,6,877,8,1459,509
973,6,921,5,166,504
527,6,417,12,1616,268
577,2,198,5,1773,154
1739,10,831,5,1877,524
1909,3,839,12,1066,503
864,6,138,6,2328,152
1165,8,570,10,1889,373
1025,1,546,7,712,319
1198,1,275,9,1986,214
1835,2,127,7,1722,156
1382,6,473,10,796,305
1530,9,153,4,2750,194
1526,4,451,6,2395,326
1418,3,209,6,1337,178
1249,8,166,4,2506,185
862,10,496,9,348,300
1797,9,869,12,737,520
1305,5,143,11,1049,141
1238,9,921,10,2004,555
1538,2,157,11,1211,152
1715,3,345,9,2810,285
984,7,80,12,275,88
527,7,242,6,822,166
1213,6,343,12,2573,271
1562,6,820,7,870,485
1796,2,675,10,2047,435
1754,10,99,12,802,137
585,6,343,5,2228,244
1997,4,208,5,1026,191
625,3,170,12,237,114
1311,2,547,6,2617,368
1036,1,130,12,2497,147
644,5,310,8,1249,208
1735,2,733,9,2040,462
524,2,584,5,1991,350
1917,7,972,11,1978,596
566,8,445,12,1353,282
732,10,77,5,1583,111
608,8,774,9,1468,450
1669,4,931,9,409,531
610,1,468,11,1143,276
727,7,523,8,1770,332
610,1,407,12,1664,256
1993,4,629,4,1683,414
533,8,295,12,1600,211
1122,2,570,10,2416,370
1892,6,149,7,869,159
1247,6,739,6,115,420
1094,9,565,9,705,346
924,5,938,4,1481,535
1112,10,790,6,912,465
1191,4,599,5,2090,384
1805,5,737,12,2629,484
1843,10,903,6,994,545
1966,5,619,5,1667,410
814,8,757,7,2416,466
1376,10,291,5,513,216
1900,8,670,4,124,409
1812,2,933,9,2104,566
1960,7,825,11,415,493
1161,8,945,5,670,535
776,6,587,12,824,344
1123,5,755,6,1949,459
1015,9,466,11,1399,309
1873,3,96,11,2053,150
1342,10,88,6,488,113
1969,4,214,6,2869,230
849,9,800,9,543,453
1322,6,346,4,2844,280
1660,8,263,7,1070,217
1258,7,313,4,2868,264
1398,2,389,6,2515,289
742,3,139,12,2064,138
1042,1,605,8,2489,384
1563,9,285,8,1928,245
728,7,708,7,403,397
1047,1,567,6,863,333
1419,3,908,8,2073,543
1746,4,192,7,915,173
505,4,277,11,2259,206
1845,5,817,7,977,492
967,3,331,11,802,216
574,3,521,9,2993,342
503,1,621,8,1043,347
1145,7,87,7,2426,139
617,10,793,7,2529,484
1380,1,348,7,2160,259
1003,2,683,12,402,383
1446,4,565,7,1679,366
1073,4,518,12,259,304
1964,5,247,9,2301,237
693,2,143,10,2901,153
1346,4,982,6,2328,585
1214,1,201,11,1303,164
1915,2,365,6,2524,293
1549,1,287,4,2923,249
1958,10,27,8,1291,117
672,10,533,5,1273,331
1823,4,189,9,2163,199
825,4,132,12,1214,122
1933,7,255,4,1243,223
1641,10,743,7,2079,481
1335,9,382,4,352,254
1223,9,60,4,1532,114
724,5,80,11,2178,114
1031,10,489,5,830,311
612,1,569,4,2436,352
639,1,28,11,597,46
